n	density	trial	time_sec
20	10	1	0.001293
20	10	2	0.001255
20	10	3	0.001219
20	10	4	0.001280
20	10	5	0.001180
20	10	6	0.001153
20	10	7	0.001120
20	10	8	0.001248
20	10	9	0.001139
20	10	10	0.001226
20	10	11	0.001085
20	10	12	0.001082
20	10	13	0.001003
20	10	14	0.000977
20	10	15	0.000960
20	10	16	0.000913
20	10	17	0.000850
20	10	18	0.000823
20	10	19	0.000787
20	10	20	0.000783
40	10	1	0.006328
40	10	2	0.007223
40	10	3	0.008038
40	10	4	0.006848
40	10	5	0.006277
40	10	6	0.005976
40	10	7	0.005238
40	10	8	0.005590
40	10	9	0.005479
40	10	10	0.005177
40	10	11	0.005945
40	10	12	0.006925
40	10	13	0.008526
40	10	14	0.007349
40	10	15	0.005642
40	10	16	0.005587
40	10	17	0.007188
40	10	18	0.008786
40	10	19	0.008599
40	10	20	0.009657
60	10	1	0.022790
60	10	2	0.023443
60	10	3	0.016618
60	10	4	0.022075
60	10	5	0.016790
60	10	6	0.018046
60	10	7	0.020300
60	10	8	0.019509
60	10	9	0.022816
60	10	10	0.020837
60	10	11	0.018580
60	10	12	0.028922
60	10	13	0.022250
60	10	14	0.016735
60	10	15	0.016806
60	10	16	0.018499
60	10	17	0.017477
60	10	18	0.029872
60	10	19	0.036978
60	10	20	0.020528
80	10	1	0.046036
80	10	2	0.040465
80	10	3	0.041449
80	10	4	0.045349
80	10	5	0.043421
80	10	6	0.037605
80	10	7	0.057998
80	10	8	0.046414
80	10	9	0.059846
80	10	10	0.045415
80	10	11	0.040009
80	10	12	0.041047
80	10	13	0.045108
80	10	14	0.050616
80	10	15	0.048277
80	10	16	0.043430
80	10	17	0.038247
80	10	18	0.037868
80	10	19	0.042248
80	10	20	0.061075
100	10	1	0.084453
100	10	2	0.093911
100	10	3	0.077466
100	10	4	0.070375
100	10	5	0.081490
100	10	6	0.075957
100	10	7	0.086889
100	10	8	0.085354
100	10	9	0.082175
100	10	10	0.073630
100	10	11	0.090042
100	10	12	0.078510
100	10	13	0.073804
100	10	14	0.082672
100	10	15	0.076292
100	10	16	0.087887
100	10	17	0.078231
100	10	18	0.075960
100	10	19	0.074361
100	10	20	0.096343
120	10	1	0.139734
120	10	2	0.138252
120	10	3	0.126817
120	10	4	0.135444
120	10	5	0.133924
120	10	6	0.132792
120	10	7	0.125644
120	10	8	0.136113
120	10	9	0.130938
120	10	10	0.154215
120	10	11	0.132008
120	10	12	0.136042
120	10	13	0.130652
120	10	14	0.132498
120	10	15	0.132708
120	10	16	0.140074
120	10	17	0.134181
120	10	18	0.143248
120	10	19	0.147303
120	10	20	0.144698
140	10	1	0.204746
140	10	2	0.205188
140	10	3	0.210216
140	10	4	0.208165
140	10	5	0.204733
140	10	6	0.204780
140	10	7	0.215215
140	10	8	0.221238
140	10	9	0.202976
140	10	10	0.206071
140	10	11	0.213377
140	10	12	0.219600
140	10	13	0.188286
140	10	14	0.239822
140	10	15	0.189555
140	10	16	0.202264
140	10	17	0.197347
140	10	18	0.223774
140	10	19	0.211042
140	10	20	0.208778
160	10	1	0.327929
160	10	2	0.313967
160	10	3	0.306642
160	10	4	0.297080
160	10	5	0.308952
160	10	6	0.318177
160	10	7	0.302558
160	10	8	0.306690
160	10	9	0.296270
160	10	10	0.298170
160	10	11	0.295684
160	10	12	0.302184
160	10	13	0.300734
160	10	14	0.297191
160	10	15	0.299016
160	10	16	0.295279
160	10	17	0.301036
160	10	18	0.295568
160	10	19	0.303481
160	10	20	0.307673
180	10	1	0.436628
180	10	2	0.428761
180	10	3	0.480811
180	10	4	0.441295
180	10	5	0.429015
180	10	6	0.423696
180	10	7	0.416819
180	10	8	0.419677
180	10	9	0.433554
180	10	10	0.416557
180	10	11	0.413830
180	10	12	0.421742
180	10	13	0.416334
180	10	14	0.432333
180	10	15	0.415031
180	10	16	0.431001
180	10	17	0.425703
180	10	18	0.420426
180	10	19	0.431342
180	10	20	0.418909
200	10	1	0.569034
200	10	2	0.578269
200	10	3	0.584308
200	10	4	0.606646
200	10	5	0.569994
200	10	6	0.573190
200	10	7	0.582666
200	10	8	0.585595
200	10	9	0.570374
200	10	10	0.587813
200	10	11	0.587706
200	10	12	0.559311
200	10	13	0.579365
200	10	14	0.582961
200	10	15	0.584473
200	10	16	0.587214
200	10	17	0.567914
200	10	18	0.591244
200	10	19	0.566489
200	10	20	0.574560
20	30	1	0.000745
20	30	2	0.000705
20	30	3	0.000673
20	30	4	0.000724
20	30	5	0.000724
20	30	6	0.000707
20	30	7	0.000688
20	30	8	0.000683
20	30	9	0.000667
20	30	10	0.000650
20	30	11	0.000690
20	30	12	0.000712
20	30	13	0.000716
20	30	14	0.000669
20	30	15	0.000651
20	30	16	0.000668
20	30	17	0.000724
20	30	18	0.000661
20	30	19	0.000713
20	30	20	0.000683
40	30	1	0.005112
40	30	2	0.004990
40	30	3	0.005779
40	30	4	0.005736
40	30	5	0.005456
40	30	6	0.004912
40	30	7	0.004923
40	30	8	0.005135
40	30	9	0.008810
40	30	10	0.006076
40	30	11	0.006118
40	30	12	0.005458
40	30	13	0.005811
40	30	14	0.005003
40	30	15	0.005049
40	30	16	0.005147
40	30	17	0.004863
40	30	18	0.005139
40	30	19	0.005203
40	30	20	0.005070
60	30	1	0.017103
60	30	2	0.016078
60	30	3	0.016866
60	30	4	0.021886
60	30	5	0.019901
60	30	6	0.018839
60	30	7	0.017009
60	30	8	0.017708
60	30	9	0.019327
60	30	10	0.016432
60	30	11	0.016046
60	30	12	0.021465
60	30	13	0.015964
60	30	14	0.015919
60	30	15	0.018251
60	30	16	0.022060
60	30	17	0.017138
60	30	18	0.016619
60	30	19	0.016595
60	30	20	0.022484
80	30	1	0.037119
80	30	2	0.041300
