n	density	avg_time_sec
20	10	0.001069
40	10	0.006819
60	10	0.021494
80	10	0.045596
100	10	0.081290
120	10	0.136364
140	10	0.208859
160	10	0.303714
180	10	0.427673
200	10	0.579456
20	30	0.000693
40	30	0.005489
60	30	0.018184
80	30	0.042886
100	30	0.078211
120	30	0.130379
140	30	0.200326
160	30	0.295350
180	30	0.418180
200	30	0.581325
20	50	0.000696
40	50	0.004896
60	50	0.018650
80	50	0.040408
100	50	0.075833
120	50	0.127788
140	50	0.198391
160	50	0.301905
180	50	0.431335
200	50	0.573646
20	70	0.000637
40	70	0.004984
60	70	0.017352
80	70	0.038485
100	70	0.075868
120	70	0.126963
140	70	0.198613
160	70	0.541948
180	70	1.020854
200	70	1.374213
20	90	0.001423
40	90	0.011380
60	90	0.041321
80	90	0.094691
100	90	0.164541
120	90	0.282028
140	90	0.461353
160	90	0.681286
180	90	0.971987
200	90	1.315319
